"totalReceived","sumOfSqrt","matched","matchedUSD","projectName","payoutAddress","contributionsCount","projectId","applicationId","revisedContributionCount","revisedMatch"
"12532335560000000000","11206659872","113056889939391956126","113.26864549","OpenCann","0x4fB544dEdD9583B156A60e8AfE9afb45DCc3be56","11","0x6f4d991c607e2802e305ef9797dd63f6bf7466d0a512568fb0d696394020123e","11","11","113056889939391956126"
"21475458630000000000","10212189115","82813347898968114660","82.96845729","Follow The Black Hare","0x7587Cfbd20E5A970209526b4D1f69dBAae8Bed37","8","0xa049a60510e0962906b3c4ad74e81c6c8f864cc147e736bd9979acd30b55dff3","8","8","82813347898968114660"
"9037856370000000000","7900298477","53376859664375047464","53.47683452","VinQ: Decentralized co-creation community for regenerative viticulture","0x834f240B6dEdc7a0Cf6ae908115B5f0054fC81a4","7","0xed0329b547363295b7ba001885aa43ca88fe757be984c836d664cdc621b60708","15","7","53376859664375047464"
"8204802530000000000","7635352969","50093812438379386678","50.18763814","Cx Bio | Food Beyond Gravity","0xd5357Ceb1144C372Ab377301E715bB6A73006303","8","0xb93fd3e8eb5b9264f87bd8ea87544850a1ec18916d640a7ebc33c4ceb408e070","13","8","50093812438379386678"
"8009938900000000000","7545007260","48917195658787919234","49.00881756","IberoAm: Blockchain Innovation Hub","0x1E91264736008082BF63B6C20d36a93A329083D8","8","0xca42ca9bf8ffcd624a6552a0f953d5eb926d221520592350aacdec70a7eac1e2","9","8","48917195658787919234"
"6603983430000000000","6377726629","34071413530217896424","34.13522928","EcoSynthesisX ","0xc5d48b02eb1210c1dc67d8cb1197d9a645827245","7","0x21d38235f2f0a3ff72689cf46def66c68ecfae91407bd7a5b07ae8badf056370","5","7","34071413530217896424"
"6343447470000000000","6253844779","32767127056605077338","32.82849988","DeSci Youths","0xd9e744b474efa7a09F76baf24D3322e367DB85F6","7","0xfd26cf51184f95992063e931313a7b1ca5d0dfba5d8e8d8a0f5fc3c1061e03b1","7","7","32767127056605077338"
"14054212070000000000","6542315422","28747679014688014766","28.80152341","sp/acc @ Zuzalu","0x5732F717298884838fA2c70dbbe366d71e9877CA","5","0x6dca00960453607ab9ecd02399da150b56865292ea7554f72a769678b748d0dd","10","5","28747679014688014766"
"6483900360000000000","5719507925","26228870547545850574","26.27799722","Astrochain - Decentralized Science","0xADD01bcD655d3d1b622E91a427b04981596237fA","6","0x97514dd6a6ccb22ac7d7604e7de3ffb1cb46fbee20c4765508010bd94d2568f0","0","6","26228870547545850574"
"5460893270000000000","5308874437","22723254525942071270","22.76581518","DeSciAfrica","0xcE75b62f12ae1F891bA6222c52a630aa36127142","6","0xe9c7bb2843d4541a005844f65224316f4783c7636f5ef8f442f84193efade595","3","6","22723254525942071270"
"5391185570000000000","5276894985","22454435119549482248","22.49649227","SpaceRadar","0x279C05Bc10A34a1608b928014A14735839AB81a7","6","0x7a1fc973b8fbfc61920f548d353857325b07124b9b612666884cc1236f746883","12","6","22454435119549482248"
"5291383390000000000","5228283667","22043566717189243604","22.08485431","The DeSci Journals","0x98F42f33c9Ec06a585F1a97edFD61661Ccfea033","6","0xf68a03b68a7784833609e7fc85c0340ed083353c12bb3cc33b5b99c1ec1e6938","14","6","22043566717189243604"
"12803457420000000000","5422821150","16603531809075487166","16.63463022","Masterminding Eden - Visionary Village","0x6D53F874cC91E8c9122386894829DeF34774Ef1F","4","0x03e6324ab71303fb90d59a972f918fb86e74c475eb8dba52b956fc26842d90f8","2","4","16603531809075487166"
"5243676010000000000","4620107024","16101712907741240522","16.13187141","Thrive on Mars","0x72DF79D9Bd1FB68819699aF3e95FEb6bc92148cb","5","0x95e96561ad122dd02be9f6c1e1b9523ac221769c078e67ff3f5a9b95118388c6","4","5","16101712907741240522"
"3234157710000000000","3200201977","7007134986814860496","7.02025935","Orbuculum","0xec065a4a31Aca9a3CCd2671093824e3923F827fc","4","0xa5767fc042936a78ada53bff292f090cbe5ae806a5f280e321e9d894b0980b93","1","4","7007134986814860496"
"2112176080000000000","2140497109","2469551797448903936","2.47417726","MesoReefDAO - Regenerating Reef Conservation with DeSci Web3 tools","0x526647287A54A9E83998ED748115Dc6bCBBadBf3","3","0x661b253b58854a0f86ab612f72199b61ef3a3dcf7ee08927ae2b2b2844a24753","6","3","2469551797448903936"
