"totalReceived","sumOfSqrt","matched","matchedUSD","projectName","payoutAddress","contributionsCount","projectId","applicationId","revisedContributionCount","revisedMatch"
"25300817270000000000","10389362424","82638034320433765854","82.85882579","IberoAm: Blockchain Innovation Hub","0x1E91264736008082BF63B6C20d36a93A329083D8","5","0xca42ca9bf8ffcd624a6552a0f953d5eb926d221520592350aacdec70a7eac1e2","15","5","82493251721619071288"
"13876518880000000000","5736055543","19025814318887479980","19.07664729","MesoReefDAO - Regenerating Reef Conservation with DeSci Web3 tools","0x1848F1a85fCBC349016e63150D1E605c6d7fAa0B","3","0x661b253b58854a0f86ab612f72199b61ef3a3dcf7ee08927ae2b2b2844a24753","11","3","19033099144332099066"
"17784858270000000000","5123627412","8466699595389600232","8.48932083","Follow The Black Hare","0x7587Cfbd20E5A970209526b4D1f69dBAae8Bed37","4","0xa049a60510e0962906b3c4ad74e81c6c8f864cc147e736bd9979acd30b55dff3","14","4","8463943856239802574"
"11933037570000000000","4359790505","7074735684667486688","7.09363789","Salaries Science","0x722cE03C15670c313f9596544CDB582c19f810e2","2","0x296910914495696083bae25dc0799435956e255f932ab564184aa05f84a52a73","0","2","7088238554411407120"
"11830595790000000000","4317144519","6807141015588967948","6.82532826","Masterminding Eden - Visionary Village","0x6D53F874cC91E8c9122386894829DeF34774Ef1F","4","0x03e6324ab71303fb90d59a972f918fb86e74c475eb8dba52b956fc26842d90f8","5","4","6807241506323569720"
"11837371550000000000","4314457649","6777173261415090800","6.79528044","EcoSynthesisX ","0x5ba9d0ea90537d1fed26f75cba961c813ebb0bb9","2","0x21d38235f2f0a3ff72689cf46def66c68ecfae91407bd7a5b07ae8badf056370","9","2","6777230893672764720"
"2042518750000000000","2021073221","2042218217427516408","2.04767459","Cx Bio | Food Beyond Gravity","0xd5357Ceb1144C372Ab377301E715bB6A73006303","2","0xb93fd3e8eb5b9264f87bd8ea87544850a1ec18916d640a7ebc33c4ceb408e070","17","2","2041539705192409184"
"2039112920000000000","2019401022","2038867569707496634","2.04431499","Thrive on Mars","0x72DF79D9Bd1FB68819699aF3e95FEb6bc92148cb","2","0x95e96561ad122dd02be9f6c1e1b9523ac221769c078e67ff3f5a9b95118388c6","8","2","2038190165926828256"
"10774935820000000000","3347569495","431285709560451948","0.43243801","Food Resilience DAO","0xf8752F2a1b94D398082c1Dcd5aab5CcE5208E78b","4","0x916491166c8a88a5c5cc4ae75fc019810bfe1e2ce92ad1541c3c4bc59f16d5f2","10","4","432745304458048226"
"1093271090000000000","1045596045","0","0","Astrochain - Decentralized Science","0xADD01bcD655d3d1b622E91a427b04981596237fA","1","0x97514dd6a6ccb22ac7d7604e7de3ffb1cb46fbee20c4765508010bd94d2568f0","1","1","0"
"1055806970000000000","1027524680","0","0","DeSci Asia","0x15309807df7645D17742Cf69C1FF3BDe0AA76b60","1","0x3ae22dfa742ac79d9e2db57e5e165ca7cbaeab48dc1b075a4405e8eefed0137a","3","1","0"
"1072093730000000000","1035419591","0","0","DeSci Youths","0xd9e744b474efa7a09F76baf24D3322e367DB85F6","1","0xfd26cf51184f95992063e931313a7b1ca5d0dfba5d8e8d8a0f5fc3c1061e03b1","4","1","0"
"1020804460000000000","1010348682","0","0","OpenCann","0x4fB544dEdD9583B156A60e8AfE9afb45DCc3be56","1","0x6f4d991c607e2802e305ef9797dd63f6bf7466d0a512568fb0d696394020123e","6","1","0"
"1089865260000000000","1043966120","0","0","DeSci Africa","0xcE75b62f12ae1F891bA6222c52a630aa36127142","1","0x1d428c9c0406b6e8e122405eae7279619476f9ba15d1908e88fa862968be0742","7","1","0"
"1062618630000000000","1030833948","0","0","sp/acc @ Zuzalu","0x5732F717298884838fA2c70dbbe366d71e9877CA","1","0x6dca00960453607ab9ecd02399da150b56865292ea7554f72a769678b748d0dd","13","1","0"
"2182662040000000000","1477383511","0","0","SpaceRadar","0x279C05Bc10A34a1608b928014A14735839AB81a7","1","0x7a1fc973b8fbfc61920f548d353857325b07124b9b612666884cc1236f746883","16","1","0"
"1055806970000000000","1027524680","0","0","VinQ: Decentralized co-creation community for regenerative viticulture","0x834f240B6dEdc7a0Cf6ae908115B5f0054fC81a4","1","0xed0329b547363295b7ba001885aa43ca88fe757be984c836d664cdc621b60708","19","1","0"
