"totalReceived","sumOfSqrt","matched","matchedUSD","projectName","payoutAddress","contributionsCount","projectId","applicationId","revisedContributionCount","revisedMatch"
"26872208","13705","160965144","161.10511767","DeSci Africa","0xcE75b62f12ae1F891bA6222c52a630aa36127142","10","0x5a584f3d66b5071f6c7d76fc05c0c39744453a2c5948e9c1350538128f3903b6","3","10","160890250"
"34440050","13323","143071260","143.19567333","OpenCann","0x4fB544dEdD9583B156A60e8AfE9afb45DCc3be56","8","0x6f4d991c607e2802e305ef9797dd63f6bf7466d0a512568fb0d696394020123e","8","8","143049546"
"21450071","11794","117661792","117.76410951","Masterminding Eden - Visionary Village","0x6D53F874cC91E8c9122386894829DeF34774Ef1F","8","0x03e6324ab71303fb90d59a972f918fb86e74c475eb8dba52b956fc26842d90f8","2","8","117686638"
"15362079","10413","93079822","93.16076328","Orbuculum","0x4F0531Cc1b6DBaebE5f3e502F49363d73490B87e","9","0xa5767fc042936a78ada53bff292f090cbe5ae806a5f280e321e9d894b0980b93","1","9","93156216"
"17985882","10381","89792128","89.87021033","Astrochain","0xADD01bcD655d3d1b622E91a427b04981596237fA","8","0xe49d04d2834d34aceb91ae6f0f4c0f96f527cfe61175d9f7ef1f01ddf374e36a","0","8","89868058"
"15002120","8324","54295538","54.34275285","Follow The Black Hare","0x7587Cfbd20E5A970209526b4D1f69dBAae8Bed37","6","0xa049a60510e0962906b3c4ad74e81c6c8f864cc147e736bd9979acd30b55dff3","7","6","54278000"
"10806893","6782","35196120","35.22672619","MesoReefDAO - Regenerating Reef Conservation with DeSci Web3 tools","0x9F000bfB33b0B63fCE685B538B1A8af079b57D93","5","0x661b253b58854a0f86ab612f72199b61ef3a3dcf7ee08927ae2b2b2844a24753","6","5","35171392"
"7950965","5209","19188328","19.20501397","Thrive on Mars","0x72DF79D9Bd1FB68819699aF3e95FEb6bc92148cb","5","0x95e96561ad122dd02be9f6c1e1b9523ac221769c078e67ff3f5a9b95118388c6","4","5","19178294"
"8693173","5031","16623572","16.63802769","DeSci Youths","0xd9e744b474efa7a09F76baf24D3322e367DB85F6","4","0xfd26cf51184f95992063e931313a7b1ca5d0dfba5d8e8d8a0f5fc3c1061e03b1","10","4","16623572"
"8663059","5016","16503272","16.51762308","EcoSynthesisX ","0x50418699cb44bfda9c9afc9b7a0b0d244d8927d2","4","0x21d38235f2f0a3ff72689cf46def66c68ecfae91407bd7a5b07ae8badf056370","5","4","16511292"
