"totalReceived","sumOfSqrt","matched","matchedUSD","projectName","payoutAddress","contributionsCount","projectId","applicationId","revisedContributionCount","revisedMatch"
"220126329020000000000","192667144084","126873466452683767202","126.81210663","Astrochain","0xADD01bcD655d3d1b622E91a427b04981596237fA","231","0xe49d04d2834d34aceb91ae6f0f4c0f96f527cfe61175d9f7ef1f01ddf374e36a","1","96","115049266010387668315"
"192938071580000000000","179726892651","110398417290752887802","110.3450253","Thrive on Mars","0x72DF79D9Bd1FB68819699aF3e95FEb6bc92148cb","444","0x95e96561ad122dd02be9f6c1e1b9523ac221769c078e67ff3f5a9b95118388c6","10","234","135938652835085958442"
"204034493520000000000","167624984590","95907130892966217214","95.86074732","SpaceRadar","0x279C05Bc10A34a1608b928014A14735839AB81a7","204","0x7a1fc973b8fbfc61920f548d353857325b07124b9b612666884cc1236f746883","16","77","63190167580961473240"
"197434507040000000000","157365290005","84465634596761119998","84.42478448","OpenCann","0x4fB544dEdD9583B156A60e8AfE9afb45DCc3be56","192","0x6f4d991c607e2802e305ef9797dd63f6bf7466d0a512568fb0d696394020123e","15","87","98084076066187290663"
"178836443620000000000","156690558216","83801000651047528743","83.76047197","EcoSynthesisX ","0x7380a42137d16a0e7684578d8b3d32e1fbd021b5","197","0x21d38235f2f0a3ff72689cf46def66c68ecfae91407bd7a5b07ae8badf056370","11","89","88274735976297259604"
"192687520800000000000","152768737699","79580555850644590183","79.5420683","Follow the Black Hare","0x7587Cfbd20E5A970209526b4D1f69dBAae8Bed37","183","0x506e5b30d0fd5941ad09ac07faa45ce1b145465226e468ec280ebfdc384278bb","14","85","78212422730509918866"
"196685511150000000000","150230920761","76922934465147592748","76.88573222","MesoReefDAO - Regenerating Reef Conservation with DeSci Web3 tools","0xfbCFd664bfaA78973303DE1B4dF74f52E062679A","178","0x661b253b58854a0f86ab612f72199b61ef3a3dcf7ee08927ae2b2b2844a24753","12","70","61958247975978335768"
"157409017610000000000","136651851269","63663893458127132180","63.63310368","Masterminding Eden - Visionary Village","0x6D53F874cC91E8c9122386894829DeF34774Ef1F","176","0x03e6324ab71303fb90d59a972f918fb86e74c475eb8dba52b956fc26842d90f8","8","75","64772318249209358613"
"167658784080000000000","136122972942","63132632799265219680","63.10209996","DeSci Africa","0xcE75b62f12ae1F891bA6222c52a630aa36127142","175","0xfe6e4444e66994c6571da9634067cf308d7df99c7b8c6d648d4a7624b92a341c","9","73","55148473759783047317"
"115769541950000000000","112707657295","43278207689163137963","43.25727704","Orbuculum","0x473a794C9D560A400bE29C5B0D3699E4734771C3","161","0xa5767fc042936a78ada53bff292f090cbe5ae806a5f280e321e9d894b0980b93","2","71","48081722381477938290"
"123905014670000000000","103371817172","36314293856053339202","36.29673117","HubTropolis ","0x3b511D5fc2a4ebE490e07cC457B8048F9ccF1174","141","0xe44ffb50ca31dfc19957370fe9c2b993927d19b822c24d130f5d1641d7fa8077","3","67","53187847341339174693"
"108368419070000000000","102235364271","35564319303126063041","35.54711933","Cx Bio | Food Beyond Gravity","0xd5357Ceb1144C372Ab377301E715bB6A73006303","148","0xb93fd3e8eb5b9264f87bd8ea87544850a1ec18916d640a7ebc33c4ceb408e070","17","65","40913923791524977017"
"96437291440000000000","100751552417","34569757409684538545","34.55303843","IberoAm: Blockchain Innovation Hub","0x1E91264736008082BF63B6C20d36a93A329083D8","148","0xca42ca9bf8ffcd624a6552a0f953d5eb926d221520592350aacdec70a7eac1e2","7","60","27166510898923092429"
"98344290010000000000","89829413136","27406287228060621415","27.39303272","DeSci Youths","0xd9e744b474efa7a09F76baf24D3322e367DB85F6","126","0xfd26cf51184f95992063e931313a7b1ca5d0dfba5d8e8d8a0f5fc3c1061e03b1","18","50","23141881342971805389"
"99538593290000000000","73441967284","18202773237367249984","18.19396983","VinQ: Decentralized co-creation community for regenerative viticulture","0x834f240B6dEdc7a0Cf6ae908115B5f0054fC81a4","103","0xed0329b547363295b7ba001885aa43ca88fe757be984c836d664cdc621b60708","19","48","21216433136073964706"
"86268514590000000000","73323867316","18188803724703980685","18.18000707","The DeSci Journals","0x98F42f33c9Ec06a585F1a97edFD61661Ccfea033","110","0xf68a03b68a7784833609e7fc85c0340ed083353c12bb3cc33b5b99c1ec1e6938","20","47","22077413697743796930"
"28693026920000000000","22229063698","1600297024668253490","1.59952307","Spacefarer phenome","0x59041d70deAEfe849A48E77e0b273DdD072eA9e4","30","0x370d7b32c703bf43f66870a71df14454d77ec7258cdda9515da0aa3ad1d161ba","21","18","3289009985944474752"
"6905076740000000000","6678087484","129594069776759917","0.12953139","FunDeSci (NFT-Fundraising for DeSci)","0x7892e0143dD30e8594E0be83367Da43A1D7DB22A","8","0x946c3ae8036640fa6fd6a61a1089fa03eaa778c7314d22343ba85e4ee9687439","22","5","296896239600464957"
